id	age	default	housing	loan	contact	month	day_of_week	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
44	45	no	yes	no	cellular	jul	tue	3	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
44	45	no	yes	no	cellular	jul	tue	3	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
45	32	no	yes	yes	cellular	may	fri	1	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
45	32	no	yes	yes	cellular	may	fri	1	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
46	39	unknown	no	no	cellular	may	thu	2	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
46	39	unknown	no	no	cellular	may	thu	2	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
47	32	no	no	no	telephone	nov	thu	1	999	0	nonexistent	-0.1	93.2	-42.0	4.592	5195.8	no
48	29	no	no	no	cellular	may	mon	2	999	0	nonexistent	-1.8	92.893	-46.2	1.299	5099.1	no
49	44	no	no	no	cellular	aug	mon	2	999	0	nonexistent	1.4	93.444	-36.1	4.97	5228.1	no
50	32	no	no	yes	cellular	jul	fri	3	999	0	nonexistent	1.4	93.918	-42.7	4.957	5228.1	no
51	56	no	yes	no	cellular	jun	wed	1	999	2	failure	-2.9	92.963	-40.8	1.26	5076.2	no
52	33	no	yes	no	cellular	may	thu	1	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
52	33	no	yes	no	cellular	may	thu	1	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
53	39	no	no	no	cellular	aug	fri	3	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	no
53	39	no	no	no	cellular	aug	fri	3	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	no
54	24	no	yes	yes	cellular	sep	tue	2	3	1	success	-3.4	92.379	-29.8	0.77	5017.5	yes
55	33	no	yes	no	cellular	may	thu	1	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
56	58	no	no	no	telephone	jun	thu	2	999	0	nonexistent	1.4	94.465	-41.8	4.866	5228.1	no
57	29	no	yes	no	telephone	jun	fri	27	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
58	31	no	yes	no	cellular	aug	thu	1	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
59	27	no	no	no	telephone	may	wed	5	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
60	60	no	yes	no	cellular	sep	wed	1	999	1	failure	-1.1	94.199	-37.5	0.886	4963.6	yes
61	55	no	yes	yes	cellular	oct	mon	1	999	2	failure	-3.4	92.431	-26.9	0.739	5017.5	no
62	37	no	yes	no	cellular	may	wed	2	999	0	nonexistent	-1.8	92.893	-46.2	1.334	5099.1	no
63	52	no	yes	no	telephone	apr	wed	1	6	1	success	-1.8	93.749	-34.6	0.654	5008.7	yes
64	46	no	yes	no	cellular	apr	mon	1	999	0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
65	42	no	yes	no	cellular	may	wed	2	999	0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
66	35	no	yes	no	cellular	jul	mon	3	999	0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
67	49	no	yes	yes	cellular	oct	thu	1	999	0	nonexistent	-3.4	92.431	-26.9	0.754	5017.5	no
68	29	no	no	yes	telephone	jun	mon	3	999	0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	no
69	32	no	no	no	cellular	nov	mon	2	5	1	success	-0.1	93.2	-42.0	4.191	5195.8	yes
70	37	no	no	no	cellular	may	fri	1	999	1	failure	-1.8	92.893	-46.2	1.313	5099.1	no
70	37	no	no	no	cellular	may	fri	1	999	1	failure	-1.8	92.893	-46.2	1.313	5099.1	no
71	39	unknown	no	no	telephone	jun	mon	4	999	0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	yes
71	39	unknown	no	no	telephone	jun	mon	4	999	0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	yes
72	51	unknown	yes	no	telephone	jul	mon	3	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	yes
73	28	no	yes	no	cellular	may	tue	3	999	0	nonexistent	-1.8	92.893	-46.2	1.291	5099.1	no
74	34	no	yes	no	cellular	may	wed	4	999	0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
74	34	no	yes	no	cellular	may	wed	4	999	0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
75	31	no	yes	yes	cellular	aug	tue	1	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	yes
76	31	no	yes	no	cellular	aug	thu	5	999	0	nonexistent	1.4	93.444	-36.1	4.962	5228.1	no
77	31	no	yes	no	telephone	jun	wed	2	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
78	38	no	no	no	telephone	may	thu	2	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
79	33	no	no	no	telephone	jun	fri	6	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
80	32	no	no	no	cellular	aug	tue	12	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	no
81	54	unknown	yes	no	cellular	apr	mon	1	999	0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
82	41	no	yes	no	telephone	jun	tue	2	999	0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
83	59	unknown	no	no	cellular	aug	thu	7	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
84	57	no	yes	no	cellular	apr	thu	1	2	1	success	-1.8	93.075	-47.1	1.365	5099.1	no
85	38	no	yes	no	cellular	nov	thu	1	999	0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
86	46	no	yes	no	telephone	may	tue	1	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
87	37	no	yes	yes	cellular	nov	tue	1	999	0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
88	47	no	unknown	unknown	telephone	jun	thu	3	999	0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	yes
89	45	no	no	no	cellular	aug	thu	1	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	yes
90	36	no	yes	no	telephone	jul	wed	1	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
91	40	no	yes	no	cellular	jul	mon	5	999	0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
92	38	no	no	no	cellular	nov	tue	2	999	1	failure	-0.1	93.2	-42.0	4.153	5195.8	no
93	44	unknown	no	no	telephone	jun	tue	2	999	0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
94	25	no	yes	no	telephone	may	fri	2	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
94	25	no	yes	no	telephone	may	fri	2	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
95	30	no	yes	no	telephone	jul	tue	5	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
96	43	no	no	no	cellular	nov	tue	2	999	0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
97	58	unknown	no	no	telephone	may	mon	3	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
97	58	unknown	no	no	telephone	may	mon	3	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
98	31	no	yes	no	telephone	may	wed	6	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
99	53	no	no	no	cellular	jul	tue	2	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
100	52	no	no	no	cellular	aug	tue	1	999	0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
100	52	no	no	no	cellular	aug	tue	1	999	0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
101	37	unknown	no	yes	cellular	apr	fri	1	999	1	failure	-1.8	93.075	-47.1	1.405	5099.1	no
102	58	unknown	yes	no	cellular	jul	tue	1	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
103	37	no	yes	yes	cellular	may	thu	3	999	0	nonexistent	-1.8	92.893	-46.2	1.266	5099.1	no
104	38	no	yes	no	cellular	may	fri	1	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
105	33	no	yes	no	cellular	apr	thu	2	999	0	nonexistent	-1.8	93.075	-47.1	1.41	5099.1	no
106	45	unknown	yes	no	cellular	may	fri	1	999	0	nonexistent	-1.8	92.893	-46.2	1.25	5099.1	no
107	44	no	no	no	telephone	may	mon	1	999	0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
108	38	no	yes	no	telephone	jul	thu	2	999	0	nonexistent	1.4	93.918	-42.7	4.966	5228.1	no
109	34	no	no	no	telephone	jun	tue	1	999	0	nonexistent	-1.7	94.055	-39.8	0.702	4991.6	no
110	47	no	yes	no	cellular	jul	wed	1	999	0	nonexistent	-2.9	92.469	-33.6	1.029	5076.2	no
110	47	no	yes	no	cellular	jul	wed	1	999	0	nonexistent	-2.9	92.469	-33.6	1.029	5076.2	no
111	59	no	yes	yes	cellular	jul	wed	1	999	0	nonexistent	-2.9	92.469	-33.6	1.085	5076.2	no
112	51	unknown	yes	yes	cellular	aug	thu	2	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
113	31	no	yes	no	telephone	jun	wed	2	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
114	56	no	yes	yes	cellular	nov	wed	1	999	1	failure	-0.1	93.2	-42.0	4.12	5195.8	no
115	39	no	no	no	telephone	jun	mon	2	999	0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
116	41	no	yes	no	cellular	nov	tue	1	999	0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	yes
117	41	no	yes	no	cellular	nov	thu	1	999	0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
118	53	unknown	no	no	telephone	may	thu	4	999	0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
119	35	no	no	yes	cellular	jul	mon	4	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
120	58	no	no	yes	cellular	may	wed	1	999	0	nonexistent	-1.8	92.893	-46.2	1.334	5099.1	no
121	25	no	yes	no	telephone	jun	wed	2	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
121	25	no	yes	no	telephone	jun	wed	2	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
122	35	no	yes	no	cellular	may	tue	1	999	1	failure	-1.8	92.893	-46.2	1.344	5099.1	no
123	28	no	no	no	cellular	jul	wed	1	999	0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
124	55	no	yes	yes	cellular	may	fri	3	999	1	failure	-1.8	92.893	-46.2	1.25	5099.1	no
125	54	unknown	no	yes	telephone	may	thu	1	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
126	45	unknown	no	no	cellular	jul	wed	2	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
127	32	no	yes	no	cellular	apr	thu	1	999	1	failure	-1.8	93.075	-47.1	1.41	5099.1	no
128	50	unknown	yes	no	cellular	aug	thu	3	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
129	75	no	no	no	cellular	apr	tue	1	999	1	failure	-1.8	93.075	-47.1	1.405	5099.1	yes
130	33	no	no	no	telephone	may	wed	4	999	0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
131	29	no	no	yes	cellular	aug	wed	2	999	0	nonexistent	1.4	93.444	-36.1	4.967	5228.1	no
132	45	no	yes	no	cellular	may	thu	1	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
133	38	no	no	no	cellular	apr	mon	1	999	0	nonexistent	-1.8	93.075	-47.1	1.392	5099.1	yes
133	38	no	no	no	cellular	apr	mon	1	999	0	nonexistent	-1.8	93.075	-47.1	1.392	5099.1	yes
134	24	no	yes	no	telephone	may	mon	1	999	0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
135	41	no	yes	no	cellular	aug	mon	1	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
136	58	no	yes	no	cellular	jun	tue	1	999	0	nonexistent	-2.9	92.963	-40.8	1.262	5076.2	yes
137	34	no	no	yes	telephone	may	wed	2	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
138	34	no	no	no	cellular	nov	mon	2	999	0	nonexistent	-1.1	94.767	-50.8	1.05	4963.6	no
139	37	no	no	no	telephone	may	wed	1	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
140	53	no	no	no	telephone	jun	wed	1	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	yes
141	54	no	yes	yes	cellular	jul	tue	14	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
142	32	no	yes	no	cellular	nov	tue	1	999	0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
143	42	no	yes	no	cellular	jul	fri	6	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
144	28	no	yes	no	cellular	aug	thu	2	3	1	success	-2.9	92.201	-31.4	0.851	5076.2	yes
145	33	no	yes	no	telephone	may	fri	1	999	0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
145	33	no	yes	no	telephone	may	fri	1	999	0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
146	41	no	yes	no	cellular	apr	mon	2	999	0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
147	31	no	no	yes	cellular	nov	thu	1	999	0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
148	40	unknown	no	yes	telephone	may	thu	4	999	0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
149	53	no	no	yes	cellular	nov	wed	1	999	1	failure	-3.4	92.649	-30.1	0.716	5017.5	no
150	40	no	yes	no	cellular	aug	mon	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
150	40	no	yes	no	cellular	aug	mon	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
151	82	no	no	no	telephone	sep	tue	3	3	2	success	-1.1	94.199	-37.5	0.877	4963.6	yes
151	82	no	no	no	telephone	sep	tue	3	3	2	success	-1.1	94.199	-37.5	0.877	4963.6	yes
152	28	no	yes	no	cellular	jul	mon	1	999	0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
153	30	unknown	yes	no	cellular	nov	wed	3	999	0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
154	31	no	yes	no	cellular	jul	tue	1	6	3	success	-1.7	94.215	-40.3	0.835	4991.6	yes
155	32	no	yes	no	cellular	aug	wed	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
156	54	no	yes	no	cellular	aug	tue	1	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
157	31	no	no	no	cellular	jul	wed	1	999	0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
157	31	no	no	no	cellular	jul	wed	1	999	0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
158	50	no	yes	no	cellular	aug	thu	2	999	0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
158	50	no	yes	no	cellular	aug	thu	2	999	0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
159	47	no	no	no	cellular	jul	tue	2	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
160	31	no	yes	yes	cellular	may	wed	1	999	0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
161	32	no	yes	no	cellular	nov	thu	1	999	0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
162	46	no	yes	no	cellular	nov	mon	2	999	2	failure	-1.1	94.767	-50.8	1.048	4963.6	no
163	47	no	no	no	cellular	may	mon	2	999	0	nonexistent	-1.8	92.893	-46.2	1.299	5099.1	no
164	32	no	no	no	cellular	nov	mon	2	999	2	failure	-1.1	94.767	-50.8	1.048	4963.6	no
165	52	unknown	no	no	cellular	nov	mon	1	999	0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
166	45	no	yes	no	cellular	oct	fri	3	6	1	success	-1.1	94.601	-49.5	1.029	4963.6	yes
167	32	no	yes	no	cellular	may	fri	2	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
167	32	no	yes	no	cellular	may	fri	2	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
168	71	unknown	no	no	cellular	aug	thu	1	999	0	nonexistent	-1.7	94.027	-38.3	0.904	4991.6	no
169	49	no	yes	no	telephone	may	fri	2	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
170	46	no	yes	yes	telephone	jun	wed	10	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
171	46	no	no	no	cellular	nov	fri	1	999	0	nonexistent	-1.1	94.767	-50.8	1.028	4963.6	no
172	38	no	yes	no	cellular	aug	tue	6	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
173	57	unknown	no	no	cellular	aug	mon	2	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
174	41	unknown	unknown	unknown	cellular	may	mon	2	999	1	failure	-1.8	92.893	-46.2	1.299	5099.1	no
175	44	no	no	no	telephone	may	fri	3	999	0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
176	47	no	yes	no	cellular	aug	wed	7	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
177	40	no	yes	yes	telephone	may	wed	2	999	0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
178	57	no	yes	no	telephone	may	mon	1	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
178	57	no	yes	no	telephone	may	mon	1	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
179	27	no	no	no	cellular	mar	tue	1	3	1	success	-1.8	93.369	-34.8	0.637	5008.7	yes
180	52	no	no	no	cellular	aug	fri	1	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	yes
180	52	no	no	no	cellular	aug	fri	1	999	0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	yes
181	34	no	yes	yes	telephone	jun	wed	1	999	0	nonexistent	-2.9	92.963	-40.8	1.26	5076.2	no
182	42	no	yes	no	telephone	may	tue	1	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
183	51	no	yes	no	telephone	jun	fri	3	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
184	45	unknown	yes	no	telephone	may	fri	1	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
185	56	no	no	no	cellular	may	mon	1	999	0	nonexistent	-1.8	92.893	-46.2	1.244	5099.1	no
185	56	no	no	no	cellular	may	mon	1	999	0	nonexistent	-1.8	92.893	-46.2	1.244	5099.1	no
186	41	no	yes	no	cellular	may	thu	1	999	0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
187	44	no	yes	no	cellular	aug	fri	1	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
188	50	no	yes	no	cellular	may	mon	3	3	1	success	-1.8	92.893	-46.2	1.354	5099.1	yes
189	54	no	no	no	cellular	aug	tue	3	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
190	51	no	no	no	cellular	aug	fri	1	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
191	30	no	no	no	cellular	nov	wed	1	999	0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
192	42	unknown	yes	no	telephone	jun	fri	8	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
193	41	unknown	yes	no	telephone	jun	mon	11	999	0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	no
194	47	no	no	no	cellular	nov	tue	2	999	0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
195	35	no	yes	no	cellular	apr	fri	1	999	1	failure	-1.8	93.075	-47.1	1.405	5099.1	no
196	58	no	no	no	cellular	nov	tue	1	999	1	failure	-0.1	93.2	-42.0	4.153	5195.8	no
197	50	no	yes	yes	cellular	jul	mon	2	999	0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	yes
197	50	no	yes	yes	cellular	jul	mon	2	999	0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	yes
198	41	no	no	no	telephone	may	tue	1	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
199	38	no	yes	no	cellular	may	wed	1	999	0	nonexistent	-1.8	92.893	-46.2	1.334	5099.1	no
200	32	no	no	no	cellular	nov	thu	2	999	0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
201	21	no	no	no	cellular	aug	tue	1	999	1	failure	-2.9	92.201	-31.4	0.884	5076.2	no
202	46	unknown	no	no	telephone	may	wed	1	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
203	42	no	yes	no	cellular	nov	fri	3	999	0	nonexistent	-0.1	93.2	-42.0	4.021	5195.8	no
204	55	no	no	no	cellular	aug	wed	13	999	0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
205	29	no	yes	no	telephone	nov	mon	1	6	1	success	-1.1	94.767	-50.8	1.05	4963.6	no
206	30	unknown	yes	no	telephone	jun	wed	1	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
206	30	unknown	yes	no	telephone	jun	wed	1	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
207	53	no	yes	no	cellular	nov	wed	1	999	0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
208	35	no	yes	no	cellular	nov	wed	2	999	0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
209	46	no	yes	no	telephone	may	tue	4	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
210	30	no	no	no	telephone	may	wed	2	999	0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
211	43	unknown	yes	no	cellular	jul	tue	1	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
