id;job;marital;education
3124;blue-collar;married;basic.6y
2379;admin.;single;basic.9y
1364;retired;divorced;university.degree
2869;blue-collar;married;basic.9y
3483;blue-collar;married;basic.9y
328;technician;married;professional.course
4005;admin.;single;high.school
2484;services;married;professional.course
1835;blue-collar;married;professional.course
3036;blue-collar;married;basic.9y
2492;blue-collar;single;professional.course
338;unemployed;married;university.degree
1004;blue-collar;divorced;high.school
1367;entrepreneur;single;university.degree
474;technician;divorced;university.degree
3627;technician;married;professional.course
1389;admin.;single;university.degree
3383;services;single;basic.9y
3108;technician;single;professional.course
1951;admin.;married;high.school
324;services;married;high.school
1722;unemployed;divorced;basic.4y
780;admin.;single;university.degree
1827;admin.;married;professional.course
2755;entrepreneur;married;university.degree
876;technician;single;high.school
2004;blue-collar;single;basic.4y
609;technician;married;university.degree
3298;entrepreneur;married;basic.4y
841;admin.;married;university.degree
2730;technician;single;university.degree
2536;technician;married;professional.course
4003;blue-collar;married;basic.6y
2712;unemployed;divorced;basic.9y
2427;services;married;high.school
166;admin.;married;high.school
2346;admin.;married;high.school
1423;technician;married;university.degree
1193;blue-collar;married;basic.9y
531;blue-collar;married;basic.6y
1259;services;single;basic.4y
1474;technician;single;professional.course
3027;technician;married;professional.course
1481;management;single;university.degree
658;admin.;married;university.degree
617;technician;married;university.degree
3928;entrepreneur;single;university.degree
3907;technician;single;professional.course
1286;self-employed;divorced;university.degree
58;admin.;married;university.degree
1458;admin.;divorced;high.school
1146;blue-collar;single;basic.9y
1297;self-employed;married;high.school
1107;admin.;single;university.degree
2901;entrepreneur;married;professional.course
4023;technician;divorced;professional.course
3406;technician;single;high.school
2294;student;single;high.school
1167;unemployed;married;university.degree
2715;blue-collar;married;basic.4y
145;services;single;high.school
787;technician;single;university.degree
1230;technician;single;university.degree
2658;management;married;high.school
2279;housemaid;married;university.degree
2048;admin.;single;university.degree
81;technician;married;professional.course
2684;management;divorced;high.school
3260;services;married;high.school
3238;technician;married;high.school
684;management;married;university.degree
69;blue-collar;married;basic.9y
1619;unknown;married;unknown
2973;admin.;married;university.degree
133;admin.;divorced;university.degree
2264;services;single;university.degree
3208;technician;married;professional.course
2441;self-employed;married;university.degree
1704;admin.;single;university.degree
2229;blue-collar;married;unknown
2140;retired;married;high.school
3698;services;single;high.school
1130;blue-collar;divorced;high.school
3218;services;married;high.school
1533;blue-collar;married;high.school
1175;management;married;university.degree
2412;blue-collar;single;high.school
271;admin.;single;university.degree
2579;admin.;married;unknown
2446;admin.;married;high.school
3082;blue-collar;married;basic.9y
3978;blue-collar;married;basic.9y
2777;blue-collar;married;basic.4y
3388;admin.;single;university.degree
1949;retired;divorced;professional.course
1221;unemployed;divorced;university.degree
159;technician;single;unknown
178;retired;single;professional.course
360;services;married;basic.9y
529;unknown;married;high.school
2007;blue-collar;married;basic.4y
2764;blue-collar;single;basic.9y
268;unemployed;married;high.school
3513;self-employed;married;university.degree
147;services;married;high.school
3837;management;married;university.degree
1015;technician;single;high.school
3220;blue-collar;married;basic.6y
2041;technician;single;professional.course
1868;services;married;high.school
4049;technician;divorced;high.school
183;technician;married;unknown
2417;blue-collar;married;basic.4y
71;technician;single;professional.course
1554;admin.;married;university.degree
631;blue-collar;single;basic.9y
2606;technician;married;professional.course
3321;admin.;single;university.degree
1058;self-employed;married;basic.9y
3939;technician;married;university.degree
1675;self-employed;divorced;professional.course
1613;retired;married;university.degree
3261;services;married;high.school
157;blue-collar;married;basic.9y
726;self-employed;married;basic.6y
381;blue-collar;married;basic.9y
252;admin.;married;university.degree
3279;management;married;university.degree
3729;admin.;married;high.school
1300;management;single;university.degree
1048;self-employed;single;university.degree
163;admin.;single;high.school
3671;management;married;high.school
2086;management;single;university.degree
243;services;married;high.school
320;entrepreneur;married;basic.9y
597;blue-collar;married;basic.6y
235;retired;married;basic.4y
3043;admin.;single;high.school
2082;services;single;university.degree
1290;retired;unknown;university.degree
670;technician;single;high.school
1802;housemaid;married;high.school
1008;admin.;married;basic.6y
321;blue-collar;married;basic.9y
2203;technician;married;university.degree
191;blue-collar;single;basic.9y
1188;technician;married;professional.course
3887;technician;married;high.school
2504;technician;divorced;professional.course
3610;blue-collar;single;basic.9y
409;technician;married;basic.6y
1764;blue-collar;divorced;basic.4y
491;blue-collar;married;basic.4y
556;technician;single;university.degree
571;management;married;university.degree
3042;admin.;married;high.school
804;retired;married;high.school
2049;self-employed;single;university.degree
353;admin.;married;university.degree
2285;admin.;married;high.school
2475;technician;married;university.degree
3924;blue-collar;married;professional.course
2403;admin.;married;high.school
3757;blue-collar;married;basic.9y
2260;blue-collar;married;unknown
3561;housemaid;married;basic.9y
3026;admin.;married;high.school
167;admin.;married;university.degree
3945;admin.;divorced;high.school
3316;self-employed;divorced;university.degree
276;services;married;high.school
2022;admin.;divorced;university.degree
1992;technician;married;professional.course
2217;services;single;unknown
4109;admin.;married;university.degree
97;retired;married;basic.6y
2177;admin.;divorced;high.school
2014;technician;married;professional.course
3667;blue-collar;single;unknown
3231;management;married;university.degree
3435;technician;married;university.degree
2422;retired;married;professional.course
3571;services;married;high.school
1065;services;divorced;basic.4y
3382;admin.;married;high.school
1148;admin.;married;high.school
4119;management;single;high.school
2642;services;single;high.school
2261;technician;single;professional.course
1575;technician;single;university.degree
1267;management;married;university.degree
2745;technician;married;professional.course
1824;services;single;basic.6y
2510;unemployed;divorced;high.school
1402;technician;single;high.school
3995;services;divorced;high.school
2410;admin.;married;university.degree
2518;technician;divorced;professional.course
3942;unemployed;married;professional.course
2757;technician;married;unknown
2705;blue-collar;married;basic.9y
399;self-employed;divorced;university.degree
3805;technician;married;professional.course
3865;admin.;single;university.degree
1621;admin.;married;university.degree
536;blue-collar;single;basic.6y
2539;self-employed;married;basic.9y
2813;technician;married;professional.course
2383;technician;married;professional.course
3479;technician;single;professional.course
3630;services;married;high.school
221;student;single;high.school
3233;entrepreneur;married;university.degree
455;technician;married;professional.course
1048;self-employed;single;university.degree
3257;blue-collar;married;basic.4y
62;blue-collar;married;basic.9y
967;entrepreneur;married;high.school
915;services;single;high.school
3851;admin.;married;professional.course
2250;housemaid;married;university.degree
656;admin.;married;university.degree
534;blue-collar;married;professional.course
681;management;married;high.school
2843;admin.;married;high.school
3953;technician;single;professional.course
3433;services;married;high.school
375;management;divorced;basic.4y
4099;housemaid;single;university.degree
439;blue-collar;married;unknown
309;blue-collar;married;basic.9y
2340;technician;single;unknown
1492;housemaid;married;unknown
707;blue-collar;married;basic.4y
3906;technician;divorced;high.school
3789;technician;married;basic.9y
1438;entrepreneur;married;basic.9y
3796;management;married;basic.9y
1101;blue-collar;married;basic.4y
3369;entrepreneur;divorced;basic.9y
1057;blue-collar;married;basic.4y
2331;admin.;single;university.degree
3916;admin.;married;basic.6y
3593;blue-collar;married;basic.6y
1890;blue-collar;divorced;basic.6y
3489;technician;married;university.degree
767;technician;single;university.degree
1338;admin.;married;university.degree
2971;management;married;university.degree
992;blue-collar;married;basic.4y
3309;blue-collar;married;basic.9y
1500;admin.;married;high.school
313;technician;married;university.degree
1692;technician;married;professional.course
2893;services;single;basic.9y
1896;admin.;married;university.degree
3145;technician;married;basic.9y
770;technician;married;professional.course
2159;blue-collar;single;high.school
1135;technician;single;university.degree
2659;admin.;married;basic.4y
3275;self-employed;single;university.degree
3358;admin.;single;university.degree
606;admin.;married;basic.9y
3396;technician;single;professional.course
3800;self-employed;married;high.school
919;blue-collar;married;basic.9y
1403;admin.;single;high.school
3499;services;married;professional.course
294;management;married;university.degree
717;admin.;married;university.degree
645;technician;married;professional.course
1582;entrepreneur;single;basic.6y
2234;technician;married;professional.course
3134;admin.;single;university.degree
2735;blue-collar;married;high.school
2599;blue-collar;married;basic.9y
3613;technician;married;professional.course
1242;management;single;university.degree
4090;admin.;single;university.degree
1109;unknown;married;basic.9y
3064;admin.;single;university.degree
1508;admin.;married;basic.6y
2418;self-employed;married;basic.4y
4047;admin.;married;university.degree
524;admin.;single;university.degree
851;blue-collar;married;basic.4y
394;technician;married;high.school
4015;self-employed;single;university.degree
2465;technician;married;professional.course
926;technician;single;professional.course
923;admin.;single;university.degree
401;management;divorced;university.degree
1953;admin.;married;university.degree
996;entrepreneur;married;high.school
2637;blue-collar;married;high.school
2253;housemaid;married;professional.course
1566;admin.;single;university.degree
14;blue-collar;married;basic.4y
2517;admin.;single;high.school
2883;technician;divorced;professional.course
1312;blue-collar;married;basic.4y
2005;self-employed;married;university.degree
3912;admin.;single;university.degree
921;services;single;high.school
316;admin.;single;university.degree
1343;management;single;university.degree
3833;housemaid;married;basic.6y
3531;technician;married;professional.course
2522;admin.;married;university.degree
1646;admin.;married;university.degree
3359;housemaid;divorced;university.degree
3635;blue-collar;married;basic.9y
1869;admin.;single;high.school
504;self-employed;single;university.degree
2608;blue-collar;divorced;basic.9y
3291;admin.;single;university.degree
2600;entrepreneur;married;basic.9y
846;management;married;unknown
4024;blue-collar;married;basic.9y
2505;services;married;high.school
2859;blue-collar;married;basic.6y
435;admin.;single;university.degree
3187;admin.;married;high.school
2297;blue-collar;married;basic.4y
1137;blue-collar;single;high.school
2955;blue-collar;single;professional.course
1391;blue-collar;married;basic.6y
3445;self-employed;married;basic.9y
1044;services;married;high.school
2791;technician;married;basic.6y
4079;blue-collar;married;basic.9y
450;technician;married;university.degree
344;services;single;basic.9y
984;blue-collar;married;basic.9y
2687;blue-collar;single;basic.6y
1243;admin.;married;university.degree
2719;blue-collar;single;high.school
1603;entrepreneur;married;university.degree
3876;retired;divorced;basic.4y
2639;management;divorced;university.degree
1538;technician;married;professional.course
4018;management;married;university.degree
3513;self-employed;married;university.degree
3577;retired;married;basic.4y
3857;technician;single;high.school
2853;admin.;single;university.degree
2546;services;single;high.school
382;unemployed;married;high.school
2355;self-employed;single;unknown
1430;admin.;married;high.school
2123;admin.;single;university.degree
1361;blue-collar;single;basic.6y
1665;blue-collar;married;basic.9y
4001;admin.;married;university.degree
3754;admin.;married;high.school
896;entrepreneur;married;basic.9y
3687;technician;married;basic.9y
3353;technician;married;professional.course
2503;services;married;high.school
1940;technician;single;university.degree
945;retired;married;professional.course
2671;admin.;single;university.degree
1557;blue-collar;divorced;basic.4y
136;retired;divorced;high.school
2227;housemaid;married;basic.4y
4093;blue-collar;single;high.school
3181;technician;single;university.degree
572;blue-collar;married;basic.9y
3007;services;divorced;high.school
1973;blue-collar;married;high.school
2293;entrepreneur;divorced;university.degree
3365;blue-collar;single;high.school
1494;blue-collar;married;basic.4y
891;self-employed;divorced;university.degree
3255;blue-collar;single;basic.9y
1156;retired;married;basic.4y
292;admin.;married;professional.course
2010;admin.;single;professional.course
1415;unemployed;married;professional.course
3662;admin.;married;university.degree
3324;technician;married;professional.course
197;blue-collar;divorced;high.school
1701;blue-collar;married;basic.6y
4051;student;single;high.school
3648;self-employed;married;university.degree
1229;admin.;married;university.degree
1002;technician;single;professional.course
3686;technician;married;high.school
3801;self-employed;married;university.degree
1084;blue-collar;married;high.school
3572;blue-collar;married;professional.course
677;technician;married;university.degree
461;self-employed;married;university.degree
2837;admin.;single;university.degree
28;blue-collar;married;basic.6y
2196;admin.;single;university.degree
1346;admin.;married;university.degree
2208;admin.;single;university.degree
2568;technician;married;professional.course
2426;self-employed;married;basic.4y
1068;admin.;divorced;university.degree
913;student;single;unknown
668;blue-collar;married;basic.9y
657;technician;married;university.degree
928;services;married;high.school
3732;management;married;university.degree
3412;services;married;professional.course
2476;technician;single;professional.course
2573;self-employed;married;university.degree
711;blue-collar;married;basic.4y
898;admin.;married;university.degree
1208;entrepreneur;married;university.degree
1894;services;single;basic.9y
1315;retired;married;high.school
2532;technician;married;university.degree
701;blue-collar;married;basic.4y
3302;admin.;divorced;professional.course
3926;housemaid;married;basic.4y
3777;technician;married;basic.4y
4087;technician;married;professional.course
199;technician;married;university.degree
768;retired;divorced;professional.course
2265;unemployed;married;basic.9y
1886;admin.;single;university.degree
1718;housemaid;married;university.degree
358;admin.;divorced;high.school
149;unknown;married;basic.9y
480;technician;married;professional.course
1985;blue-collar;married;basic.4y
1526;admin.;single;university.degree
3793;technician;single;professional.course
2643;technician;single;professional.course
2404;admin.;divorced;high.school
1337;services;married;high.school
960;technician;divorced;basic.9y
1570;admin.;married;high.school
2561;services;married;high.school
1815;technician;single;university.degree
1788;technician;single;professional.course
3085;student;single;basic.9y
3607;admin.;single;university.degree
3941;admin.;single;professional.course
3575;technician;married;professional.course
2789;management;divorced;university.degree
602;self-employed;married;university.degree
817;services;married;professional.course
1878;housemaid;married;basic.6y
3601;technician;divorced;university.degree
937;unknown;married;unknown
3508;unemployed;married;professional.course
37;blue-collar;married;basic.6y
501;admin.;married;basic.6y
2166;admin.;married;high.school
2664;admin.;single;high.school
3276;technician;single;university.degree
2918;technician;divorced;professional.course
2972;blue-collar;married;basic.6y
3855;admin.;single;university.degree
2095;housemaid;married;university.degree
1194;blue-collar;married;basic.9y
218;admin.;single;university.degree
1201;housemaid;single;basic.4y
1660;blue-collar;divorced;basic.4y
4050;management;divorced;basic.6y
2927;blue-collar;married;unknown
2709;technician;single;professional.course
3963;admin.;single;professional.course
1891;services;single;high.school
3173;services;married;basic.9y
287;blue-collar;married;basic.9y
1567;admin.;single;university.degree
2651;services;divorced;high.school
2459;admin.;married;university.degree
719;student;single;high.school
2113;technician;married;university.degree
2553;services;single;high.school
3301;housemaid;married;basic.4y
1975;technician;married;high.school
965;technician;married;university.degree
3825;technician;married;high.school
3811;admin.;divorced;high.school
3685;technician;single;high.school
552;student;single;high.school
3920;technician;married;high.school
3779;blue-collar;single;basic.4y
2402;admin.;single;high.school
2454;management;married;basic.6y
290;blue-collar;married;basic.6y
1592;retired;married;basic.4y
468;unknown;married;university.degree
805;management;single;basic.9y
948;admin.;married;university.degree
85;entrepreneur;divorced;university.degree
1897;self-employed;single;basic.9y
3824;admin.;single;university.degree
3399;blue-collar;married;basic.4y
4000;services;single;high.school
3716;services;married;high.school
3461;blue-collar;married;basic.4y
932;admin.;married;high.school
3216;entrepreneur;married;basic.4y
3962;admin.;married;university.degree
1964;housemaid;divorced;basic.4y
585;admin.;divorced;high.school
439;blue-collar;married;unknown
2487;blue-collar;married;professional.course
311;admin.;single;university.degree
1289;services;single;high.school
2348;housemaid;married;basic.4y
3583;blue-collar;married;basic.9y
2194;admin.;single;university.degree
445;admin.;married;high.school
2750;technician;married;professional.course
4019;admin.;married;university.degree
725;services;married;high.school
2698;management;single;high.school
1882;admin.;single;university.degree
3002;admin.;single;basic.9y
3782;admin.;single;high.school
3352;management;married;basic.9y
1169;blue-collar;single;basic.9y
539;management;married;high.school
2019;admin.;divorced;high.school
3991;blue-collar;married;basic.4y
1576;blue-collar;single;high.school
3861;services;married;high.school
3350;housemaid;married;professional.course
4085;unemployed;single;high.school
2933;blue-collar;single;basic.4y
1235;technician;married;high.school
86;admin.;married;university.degree
12;self-employed;single;basic.4y
1644;technician;married;professional.course
1663;blue-collar;married;professional.course
1414;entrepreneur;married;professional.course
1138;retired;married;basic.9y
151;housemaid;married;basic.4y
4036;blue-collar;single;basic.9y
2958;blue-collar;single;basic.6y
3289;entrepreneur;married;professional.course
2451;admin.;married;university.degree
